Metabolite	Number of neighbors	All_n	AvgAbsPearson	Z-score	P-value	Consumed_n	Consumed_AvgAbsPearson	Consumed_Z-score	Consumed_P-value	Produced_n	Produced_AvgAbsPearson	Produced_Z-score	Produced_P-value	cross_n	Cross_AvgAbsPearson	Cross_Z-score	Cross_P-value	positive_n	positive_Pearson	positive_Z-score	positive_P-value	Consumed_positive_n	Consumed_positive_Pearson	Consumed_positive_Z-score	Consumed_positive_P-value	Produced_positive_n	Produced_positive_Pearson	Produced_positive_Z-score	Produced_positive_P-value	Cross_positive_n	Cross_positive_Pearson	Cross_positive_Z-score	Cross_positive_P-value	negative_n	negative_Pearson	negative_Z-score	negative_P-value	Consumed_negative_n	Consumed_negative_Pearson	Consumed_negative_Z-score	Consumed_negative_P-value	Produced_negative_n	Produced_negative_Pearson	Produced_negative_Z-score	Produced_negative_P-value	Cross_negative_n	Cross_negative_Pearson	Cross_negative_Z-score	Cross_negative_P-value
3-Hydroxyoctadecanoyl-[acp] C18H35O2SR	2	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC
acyl-carrier protein HSR	2	1	0.128936	-0.88271	0.811304	1	0.128936	-0.88271	0.811304	NC	NC	NC	NC	NC	NC	NC	NC	1	0.128936	-0.986609	0.838083	1	0.128936	-0.986609	0.838083	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
porphobilinogen C10H14N2O4	2	1	0.631483	0.985936	0.162082	NC	NC	NC	NC	NC	NC	NC	NC	1	0.631483	0.985936	0.162082	1	0.631483	0.879677	0.189517	NC	NC	NC	NC	NC	NC	NC	NC	1	0.631483	0.879677	0.189517	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
hydroxymethylbilane C40H46N4O17	2	1	0.37331	0.146784	0.441651	NC	NC	NC	NC	NC	NC	NC	NC	1	0.37331	0.146784	0.441651	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.37331	0.265598	0.395275	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.37331	0.265598	0.395275
uroporphyrinogen-III C40H44N4O16	3	3	0.214493	-0.939971	0.826384	3	0.214493	-0.939971	0.826384	NC	NC	NC	NC	2	0.101981	-1.42961	0.923586	2	0.101981	-1.57322	0.942166	2	0.101981	-1.57322	0.942166	NC	NC	NC	NC	2	0.101981	-1.57322	0.942166	1	-0.439517	0.47205	0.318445	1	-0.439517	0.47205	0.318445	NC	NC	NC	NC	0	-10000	0	0.5
coproporphyrinogen III C36H44N4O8	4	6	0.395074	0.336567	0.368222	3	0.355356	-0.000394219	0.500157	NC	NC	NC	NC	3	0.434792	0.499753	0.308624	2	0.608026	1.10937	0.133635	1	0.732688	1.24242	0.107041	NC	NC	NC	NC	1	0.483363	0.399504	0.344761	4	-0.288599	-0.171035	0.567902	2	-0.16669	-0.700423	0.758169	NC	NC	NC	NC	2	-0.410507	0.4495	0.326535
protoporphyrinogen-IX C34H40N4O4	3	3	0.355356	-0.000394219	0.500157	NC	NC	NC	NC	3	0.355356	-0.000394219	0.500157	NC	NC	NC	NC	1	0.732688	1.24242	0.107041	NC	NC	NC	NC	1	0.732688	1.24242	0.107041	NC	NC	NC	NC	2	-0.16669	-0.700423	0.758169	NC	NC	NC	NC	2	-0.16669	-0.700423	0.758169	NC	NC	NC	NC
protoporphyrin IX C34H34N4O4	4	6	0.278958	-0.889208	0.813054	6	0.278958	-0.889208	0.813054	NC	NC	NC	NC	NC	NC	NC	NC	5	0.32003	-0.684578	0.753195	5	0.32003	-0.684578	0.753195	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0736004	-1.09506	0.863255	1	-0.0736004	-1.09506	0.863255	NC	NC	NC	NC	NC	NC	NC	NC
Fe2+ Fe	4	6	0.429433	0.486851	0.313182	NC	NC	NC	NC	3	0.635706	1.61852	0.0527748	3	0.22316	-0.896192	0.814925	4	0.489929	0.501056	0.308166	NC	NC	NC	NC	3	0.635706	1.45354	0.0730374	1	0.0525961	-1.60829	0.946114	2	-0.308442	0.0626	0.475043	NC	NC	NC	NC	0	-10000	-1.#IND	1.#QNAN	2	-0.308442	0.0626	0.475043
protoheme IX C34H32N4O4Fe	3	3	0.394806	0.323875	0.373016	1	0.567533	0.774917	0.219194	NC	NC	NC	NC	2	0.308442	-0.114344	0.545517	1	0.567533	0.668924	0.251772	1	0.567533	0.668924	0.251772	NC	NC	NC	NC	0	-10000	0	0.5	2	-0.308442	0.0626	0.475043	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	2	-0.308442	0.0626	0.475043
biliverdin C33H32N4O6	4	6	0.364217	-0.27675	0.609014	1	0.810951	1.68084	0.0463974	1	0.567533	0.774917	0.219194	4	0.201704	-1.46417	0.928427	5	0.27487	-1.19512	0.883979	0	-10000	-1.#IND	1.#QNAN	1	0.567533	0.668924	0.251772	4	0.201704	-1.66127	0.95167	1	-0.810951	1.72062	0.04266	1	-0.810951	1.72062	0.04266	0	-10000	-1.#IND	1.#QNAN	0	-10000	0	0.5
CO CO	2	1	0.567533	0.774917	0.219194	NC	NC	NC	NC	1	0.567533	0.774917	0.219194	NC	NC	NC	NC	1	0.567533	0.668924	0.251772	NC	NC	NC	NC	1	0.567533	0.668924	0.251772	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
Mg2+ Mg	5	10	0.287613	-0.840918	0.799803	3	0.240495	-0.989083	0.838689	1	0.443027	0.375778	0.353541	6	0.285269	-0.593558	0.723596	8	0.324552	-0.713006	0.762079	3	0.240495	-1.16091	0.877161	1	0.443027	0.270289	0.393469	4	0.357976	-0.192107	0.576171	2	-0.139854	-0.891237	0.813599	0	-10000	-1.#IND	1.#QNAN	0	-10000	-1.#IND	1.#QNAN	2	-0.139854	-0.891237	0.813599
Mg-protoporphyrin C34H32N4O4Mg	4	6	0.296044	-0.690123	0.754942	NC	NC	NC	NC	3	0.240495	-0.989083	0.838689	3	0.351593	-0.0348416	0.513897	4	0.207774	-1.49338	0.932332	NC	NC	NC	NC	3	0.240495	-1.16091	0.877161	1	0.10961	-1.11021	0.866545	2	-0.472585	0.78087	0.217439	NC	NC	NC	NC	0	-10000	-1.#IND	1.#QNAN	2	-0.472585	0.78087	0.217439
Mg-protoporphyrin monomethyl ester C35H34N4O4Mg	4	6	0.285792	-0.528704	0.701495	3	0.373612	0.0642421	0.474389	NC	NC	NC	NC	3	0.197972	-0.848672	0.801968	5	0.315955	-0.460138	0.677291	2	0.492929	0.510455	0.304866	NC	NC	NC	NC	3	0.197972	-1.02013	0.846167	1	-0.13498	-0.676697	0.750701	1	-0.13498	-0.676697	0.750701	NC	NC	NC	NC	0	-10000	0	0.5
Zn2+	2	1	0.246458	-0.314994	0.623617	NC	NC	NC	NC	NC	NC	NC	NC	1	0.246458	-0.314994	0.623617	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.246458	-0.172392	0.568435	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.246458	-0.172392	0.568435
131-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester C35H34N4O5Mg	3	3	0.373612	0.0642421	0.474389	3	0.373612	0.0642421	0.474389	3	0.373612	0.0642421	0.474389	6	0.373612	0.086598	0.465496	2	0.492929	0.510455	0.304866	2	0.492929	0.510455	0.304866	2	0.492929	0.510455	0.304866	4	0.492929	0.689779	0.245167	1	-0.13498	-0.676697	0.750701	1	-0.13498	-0.676697	0.750701	1	-0.13498	-0.676697	0.750701	2	-0.13498	-0.922503	0.821867
131-oxo-magnesium-protoporphyrin IX 13-monomethyl ester C35H32N4O5Mg	3	3	0.373612	0.0642421	0.474389	3	0.373612	0.0642421	0.474389	3	0.373612	0.0642421	0.474389	6	0.373612	0.086598	0.465496	2	0.492929	0.510455	0.304866	2	0.492929	0.510455	0.304866	2	0.492929	0.510455	0.304866	4	0.492929	0.689779	0.245167	1	-0.13498	-0.676697	0.750701	1	-0.13498	-0.676697	0.750701	1	-0.13498	-0.676697	0.750701	2	-0.13498	-0.922503	0.821867
divinyl protochlorophyllide a C35H30N4O5Mg	4	6	0.286028	-0.68389	0.752978	NC	NC	NC	NC	3	0.373612	0.0642421	0.474389	3	0.198444	-1.07892	0.859688	5	0.316238	-0.633057	0.736652	NC	NC	NC	NC	2	0.492929	0.510455	0.304866	3	0.198444	-1.25098	0.894529	1	-0.13498	-0.676697	0.750701	NC	NC	NC	NC	1	-0.13498	-0.676697	0.750701	0	-10000	0	0.5
chlorophyllide a C35H34N4O5Mg	2	1	0.30873	-0.0778195	0.531014	NC	NC	NC	NC	NC	NC	NC	NC	1	0.30873	-0.0778195	0.531014	1	0.30873	-0.182735	0.572497	NC	NC	NC	NC	NC	NC	NC	NC	1	0.30873	-0.182735	0.572497	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
precorrin-1 C41H46N4O16	2	1	0.108005	-1.01742	0.845523	1	0.108005	-1.01742	0.845523	1	0.108005	-1.01742	0.845523	2	0.108005	-1.37148	0.914887	1	0.108005	-1.12115	0.868888	1	0.108005	-1.12115	0.868888	1	0.108005	-1.12115	0.868888	2	0.108005	-1.51501	0.935115	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
precorrin-2 C42H48N4O16	2	1	0.108005	-1.01742	0.845523	NC	NC	NC	NC	1	0.108005	-1.01742	0.845523	NC	NC	NC	NC	1	0.108005	-1.12115	0.868888	NC	NC	NC	NC	1	0.108005	-1.12115	0.868888	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
Co2+ Co	3	3	0.350333	-0.18798	0.574554	1	0.0581418	-1.44198	0.925346	NC	NC	NC	NC	2	0.496429	0.735115	0.231135	1	0.303556	-0.201492	0.579843	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	1	0.303556	-0.201492	0.579843	2	-0.373722	0.00761293	0.496963	1	-0.0581418	-1.24132	0.892756	NC	NC	NC	NC	1	-0.689303	1.25249	0.105196
cob(II)yrinate a,c-diamide C45H61N6O12Co	2	1	0.0581418	-1.44198	0.925346	NC	NC	NC	NC	1	0.0581418	-1.44198	0.925346	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0581418	-1.24132	0.892756	NC	NC	NC	NC	1	-0.0581418	-1.24132	0.892756	NC	NC	NC	NC
precorrin-8x C45H60N4O14	3	3	0.390606	0.25005	0.401274	3	0.390606	0.25005	0.401274	NC	NC	NC	NC	NC	NC	NC	NC	2	0.259781	-0.539689	0.705294	2	0.259781	-0.539689	0.705294	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.652255	1.12872	0.129508	1	-0.652255	1.12872	0.129508	NC	NC	NC	NC	NC	NC	NC	NC
hydrogenobyrinate C45H60N4O14	3	3	0.390606	0.25005	0.401274	NC	NC	NC	NC	3	0.390606	0.25005	0.401274	NC	NC	NC	NC	2	0.259781	-0.539689	0.705294	NC	NC	NC	NC	2	0.259781	-0.539689	0.705294	NC	NC	NC	NC	1	-0.652255	1.12872	0.129508	NC	NC	NC	NC	1	-0.652255	1.12872	0.129508	NC	NC	NC	NC
hydrogenobyrinate a,c-diamide C45H62N6O12	2	1	0.0581418	-1.44198	0.925346	1	0.0581418	-1.44198	0.925346	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0581418	-1.24132	0.892756	1	-0.0581418	-1.24132	0.892756	NC	NC	NC	NC	NC	NC	NC	NC
adenosyl-cobyrinate a,c-diamide C55H73N11O15Co	2	1	0.0767395	-1.25958	0.89609	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0767395	-1.25958	0.89609	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0767395	-1.06832	0.857311	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0767395	-1.06832	0.857311
adenosyl-cobyrate C55H77N15O11Co	2	1	0.641997	1.02162	0.153481	NC	NC	NC	NC	NC	NC	NC	NC	1	0.641997	1.02162	0.153481	1	0.641997	0.915315	0.180013	NC	NC	NC	NC	NC	NC	NC	NC	1	0.641997	0.915315	0.180013	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
adenosylcobinamide C58H84N16O11Co	3	3	0.537034	1.12641	0.129997	NC	NC	NC	NC	1	0.314398	-0.0574007	0.522887	2	0.648352	1.4575	0.0724898	1	0.787889	1.46903	0.0709125	NC	NC	NC	NC	0	-10000	-1.#IND	1.#QNAN	1	0.787889	1.46903	0.0709125	2	-0.411607	0.514301	0.303521	NC	NC	NC	NC	1	-0.314398	0.0719315	0.471328	1	-0.508816	0.682594	0.247432
2,5-diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate C9H16N5O8P	2	1	0.400588	0.237559	0.406112	NC	NC	NC	NC	NC	NC	NC	NC	1	0.400588	0.237559	0.406112	1	0.400588	0.132245	0.447395	NC	NC	NC	NC	NC	NC	NC	NC	1	0.400588	0.132245	0.447395	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
H+ H_extracellular	3	3	0.371426	0.0597205	0.476189	3	0.371426	0.0597205	0.476189	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	3	-0.371426	0.264179	0.395821	3	-0.371426	0.264179	0.395821	NC	NC	NC	NC	NC	NC	NC	NC
phosphate O4P_extracellular	2	1	0.194609	-0.538328	0.704825	1	0.194609	-0.538328	0.704825	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.194609	-0.38422	0.649592	1	-0.194609	-0.38422	0.649592	NC	NC	NC	NC	NC	NC	NC	NC
Mg2+ Mg_extracellular	2	1	0.443027	0.375778	0.353541	1	0.443027	0.375778	0.353541	NC	NC	NC	NC	NC	NC	NC	NC	1	0.443027	0.270289	0.393469	1	0.443027	0.270289	0.393469	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
Zn2+_extracellular	2	1	0.246458	-0.314994	0.623617	NC	NC	NC	NC	NC	NC	NC	NC	1	0.246458	-0.314994	0.623617	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.246458	-0.172392	0.568435	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.246458	-0.172392	0.568435
